名前,EN-Name,何から生まれたか,魔法の呪文,本名,性別,一人前,公募
あさがおばーちゃん,0,0,0,0,1,0,2
アメリ,Amelie,傘,アメノヒ ハレノヒ クルクルリン♪,しとしとザーザー雨降り姫のみこと,1,0,0
アワワ,Awawa,せっけん,フワフワ あわあわ にじいろシャボン!,0,1,0,0
イーネルン,0,インスタグラム,0,0,1,0,2
ウィリーン,0,はねほうき,0,0,1,0,2
ウケロー,Ukero,グローブ,ばっちこい ばっちこい ばっちこーい,ばっち来い どんなボールも受けたるでのみこと,0,0,0
エメラルド,0,イヤリング,0,0,1,0,1
おシャキ,Oshaki,本,シャキシャキおシャキの しゃきりきりり,シャキシャキしゃべり主のみこと,1,0,0
おジョウ,Ojou,じょうろ,ジョジョジョ すくすく さくんだジョー!,じょうろでジョーっとすくすくぱっか～んのみこと,1,0,0
オルモック,0,シンセ,0,0,0,0,2
カーラ,Cala,クレヨン,カラフルカーラで　プルップル!,0,1,0,0
かぎせんにん,Kagi-Sennin,0,1,0,0,1,0
カサビン,0,傘,0,0,0,0,1
カッチン,Cutin,時計,1,0,0,1,0
カンナ,Kanna,時計,ジカン チクタク ポーンポーン!,0,1,1,0
キー,Ki,つみき,バブブ、バブブ、バブブブブー,0,1,0,0
きゃざりん,0,ネックレス,0,0,1,0,2
キャンディル,0,ゆびわ,0,0,1,0,2
キララ,Kirara,宝石箱,1,0,1,1,0
キラリス,Kirarisu,リップスティック,キラキラキラリス キラキッス♡,キラキラのラブラブのリップスティックのみこと,1,0,0
クルトン,0,0,0,0,1,0,2
クルン,Kurun,ワンピース,0,クルクルンルンしちゃいますのみこと,1,0,0
クロックル,0,時計,0,0,1,0,1
ゲッチョム,Getchom,ゲーム,グッジョブ ゲッチョム ハッピッピー!,ゲムゲムのハピハピゲットのみこと,0,0,0
ケティ,Ketti,ティーポット,1,0,1,1,0
ゲラチョ,Geracho,テレビ,ゲラゲラゲラッチョ ヨーチェケラ!,ゲラゲラのツッコミのみこと,0,0,0
ここせんにん,Coco-Sennin,0,1,0,0,1,0
コヒィ,0,0,0,0,1,0,2
コモリン,0,ゲーム,0,0,0,0,2
サリーヌ,Sarine,リンスインシャンプー,あわわん (つるるん) さっぱりりん!,さっぱりアワアワあらいのみこと,1,0,0
シネマル,Cinemaru,映写機,まるまる シネマル ワンダフル!,0,0,0,0
ジャーニー,Journey,旅行かばん,1,0,0,1,0
シャカみちゃん,0,歯ブラシ,0,0,1,0,1
シャム,Sham,おはし,0,0,1,0,0
ショコランシェ,Chocolancy,ランドセル,よっこらシェーの どっこいシェー,ランランのシェアするわのみこと,1,0,0
しょどうかふうすいくん,0,おしゅうじふで,0,0,0,0,2
シラベリウス,Shilabelius,医学書,1,0,0,1,0
シンフォニー,Symphony,オルゴール,1,0,1,1,0
スーイ,Suie,自転車,スイスイスーイ スーイスイ!,0,1,0,0
スーマ,0,0,0,0,0,0,2
スコープ,Scope,望遠鏡,ルッキンスコープ ズームイン!,星に導かれしズームで発見スコープのみこと,0,0,0
セバスチャン,Sebastian,0,0,0,0,0,0
せろはん,0,0,0,0,0,0,2
タキッシー,Tuxy,タキシード,うっしっしーのだいへんしーん!,0,0,0,0
ダシマキ,Dashimaki,勉強机,ひきダシ おしダシ がってんダシ!,0,0,0,0
タップル,0,タップ,0,0,1,0,2
タトタ,0,0,0,0,0,0,2
たまシャイン,Tama-Shine,スタンプ,1,0,1,1,0
たませんにん,Tama-Sennin,0,1,0,0,1,0
ちびりん,0,0,0,0,1,0,1
チャーリー,Charie,自転車,1,0,0,1,0
ちゃこ,Chaco,コップ,ほっとひといき ちゃちゃちゃのちゃ!,ちゃちゃちゃごくっといただきますのみこと,1,0,0
ツー,Tsu,つみき,バブブ、バブブ、バブブブブー,0,1,0,0
つりまる,0,0,0,0,0,0,2
ティア,Tia,ティアラ,シャランラ ティアラ プリンセス!,ティアラでファビュラスプリンセスのみこと,1,0,0
テップル,Tepple,ダンスシューズ,タップステップ プルルップ!,ナイスステップ プルプルリズムのみこと,1,0,0
ドクドクター,Doku-Doctor,聴診器,ドクドク刻むぜソウルにビート!,ドクドクワクワク超ロックだぜのみこと,0,0,0
とくまる,Tokumaru,シーソー,まるっと とくする のらったま!,0,0,0,0
トトトン,Tototon,まな板,トトトン トトトン トントトーン♪,0,1,0,0
トプッチ,0,ストップウォッチ,0,0,0,0,2
ドレッシー,Dressy,ドレス,うっしっしーのだいへんしーん!,0,1,0,0
ナーチュ,Nachu,注射器,ナーチュのお仕事チュッチュッチュー!,チューっと元気を注入しますのみこと,1,0,0
ニーチエ,Niche,本,ブラブラおいでよ ライブラリー!,0,0,0,0
ニコリ,Nicolie,タオル,ばぶばぶばぶぶ ばーぶぶぶ～!,0,1,0,0
ニッキー,Nicky,日記帳,ニッキー メモリー ダイアリー!,日記に宿りし思いのみこと,1,0,0
パシャリ,Pashari,カメラ,パシャっと特ダネみーつけた!,パシャパシャっと特ダネみっけのみこと,1,0,0
パタリーナ,Patarina,はたき,パタパタ ルンルン パタリンチョ♪,パタパタピカッと大変身のみこと,1,0,0
パトル,Patrol,パトカー,まてまて! たいほだ! パトロール!,パトっと安全を守るパトのみこと,0,0,0
ハピピナ,Hapipina,クラッカー,1,0,1,1,0
はりいさん,0,裁縫道具,0,0,1,0,1
パリーヌ,Parine,リンスインシャンプー,(あわわん) つるるん さっぱりりん!,さっぱりツヤツヤあらいのみこと,0,0,0
バレエ,0,バレエシューズ,0,0,1,0,1
パントニオ,Pantonio,フライパン,ホントにパントニ オー! うまい!,パンパンパーンとクルっとパーンのみこと,0,0,0
バンのすけ,Bannosuke,そろばん,願いましては ババン ババン!,ゾロっと願いましてはババンバンなりのみこと,0,0,0
ピースカ,0,まくら,0,0,0,0,2
ヒートン,Heaton,マフラー,ポカポカあったかヒートアップ!,ヒートであったかくるみのみこと,0,0,0
ピーヤ,0,イヤリング,0,0,1,0,1
ぴかりーぬ,0,ほうき,0,0,1,0,2
ピコタ,Pikota,印刷機,ピタット コピッタ ピピピのピ！,ピピピとコピーでありますのみこと,0,0,0
ビビット,Vivit,ロケットペンダント,ハートビビット ビビットビート!,ビビットハートのみこと,1,0,0
ピポパ,Pipopa,電話,0,0,1,0,0
ピロー,Pillow,まくら,グースカ ピースカ ピロピーロ!,グーグーグーのスヤスヤピーのみこと,0,0,0
ピンコ,Pinko,がま口財布,ショッピン ホッピン まいどあり〜〜♪,0,1,0,0
プースカ,0,0,0,0,0,0,2
ふわん,0,ふうせん,0,0,0,0,1
ベルス,Bells,雪ぞり,1,0,0,1,0
ベント,0,弁当箱,0,0,0,0,2
ペンネ,Penne,万年筆,0,0,0,0,0
ポカリン,Pocaline,手袋,ポカポカポッポー ポカポッポー!,ぽかぽかのあったかつつみのみこと,1,0,0
ホットニー,Hotney,体温計,ふーふー ふふふー ふふふーふー,あげあげのさげさげのみこと,1,0,0
ポワン,Poisasso,ナイトランプ,1,0,1,1,0
マイン,Main,マイク,とどけ つたわれ マイマイン!,オン オフ おめめパッチリのみこと,1,0,0
マキジ,0,0,0,0,0,0,2
マクミン,0,0,0,0,0,0,2
マルメ,Marme,メガネ,まるまるまるっと ひらめーく!,ひらめききらめきまるまるメガネで解決してみせる丸のみこと,0,0,0
ミー,Mi,つみき,バブブ、バブブ、バブブブブー,0,0,0,0
ミケッル,Michel,ルーペ,0,0,1,0,0
ミシル,Mishil,ポスト,ミルミルシルシル ミシルルルー♪,ミルミルのシルシルのスクープゲットのみこと,1,0,0
ムキテツ,Mukitetsu,鉄棒,ムテキ ワンリキ のらったま!,0,0,0,0
ムッシュ・ムクンヌ,Mush-Mukunyu,画板,ムク―ン ボンジュール ぱちょまちゅぽーん,芸術のムクムクワクのみこと,0,0,0
メロリー,Melory,ピアノ,メロメロルンルン らららのら～♪,メロメロリン姫のみこと,1,0,0
モグタン,Mogutan,フォーク,もぐも〜 もぐた〜 もごもごぺ〜,モグモグのペコリータのみこと,0,0,0
モコロス,0,けいと,0,0,0,0,2
ゆっきー,Yuuki,雪かきスコップ,ゆきゆき ぽーんと ぽっかぽかー!,0,0,0,0
ユラノ,Yurano,ブランコ,ゆらり ゆられの のらったま!,0,1,0,0
ヨセップ,Yozepp,ブックエンド,0,0,0,0,0
ライチ,Raichi,トランプ,ミライクルクル ショータイム!,0,0,0,0
ラキたま,Luckytama,いろえんぴつ,ラキラキラッキー ラッキッキー!,ラキラキのたまころの助のみこと,0,0,0
ラッくん,0,うきわ,0,0,0,0,2
らびりん,0,ポーチ,0,0,1,0,1
らんにん,Rannin,スニーカー,ニンポウ! ヤッホー! シュタタタター!,らんらんにんとはしるでござるのみこと,0,0,0
リーブ,0,バイオリン,0,0,1,0,1
リボン,Ribbon,リボン,リボンでスマイル にっこにこー!,ニコニコの桜リボンのみこと,1,0,0
ルビー,Ruby,ゆびわ,キュキュッと ぴかっと ビューティフル!,キュキュッとぴかぴかリングのみこと,1,0,0
ルルアン,0,つりざお,0,0,1,0,2
レンジ,Renge,絵ふで,レンジ アレンジ チェンジン グ〜!,0,0,0,0
